points,keys,factor,offset
outdoor_air_temperature,building.weaBus.TDryBul,1,-273.15
zone_air_temperature_zone_1,zon1.TAir,1,-273.15
zone_air_temperature_zone_2,zon2.TAir,1,-273.15
zone_air_temperature_zone_3,zon3.TAir,1,-273.15
zone_air_temperature_zone_4,zon4.TAir,1,-273.15
zone_air_temperature_zone_5,zon5.TAir,1,-273.15
zone_air_temperature_zone_6,zon6.TAir,1,-273.15
zone_air_temperature_zone_7,zon7.TAir,1,-273.15
zone_air_temperature_zone_8,zon8.TAir,1,-273.15
zone_air_temperature_zone_9,zon9.TAir,1,-273.15
zone_air_temperature_zone_10,zon10.TAir,1,-273.15
zone_air_temperature_zone_11,zon11.TAir,1,-273.15
zone_air_temperature_zone_12,zon12.TAir,1,-273.15
zone_air_temperature_zone_13,zon13.TAir,1,-273.15
zone_air_temperature_zone_14,zon14.TAir,1,-273.15
zone_air_temperature_zone_15,zon15.TAir,1,-273.15
zone_air_temperature_zone_16,zon16.TAir,1,-273.15
zone_air_temperature_zone_17,zon17.TAir,1,-273.15
zone_air_temperature_zone_18,zon18.TAir,1,-273.15
zone_air_temperature_zone_19,zon19.TAir,1,-273.15
zone_air_temperature_zone_20,zon20.TAir,1,-273.15
thermal_load_zone_1,trc_custom_air_conditioner1.hea.Q_flow,1,0
thermal_load_zone_2,trc_custom_air_conditioner2.hea.Q_flow,1,0
thermal_load_zone_3,trc_custom_air_conditioner3.hea.Q_flow,1,0
thermal_load_zone_4,trc_custom_air_conditioner4.hea.Q_flow,1,0
thermal_load_zone_5,trc_custom_air_conditioner5.hea.Q_flow,1,0
thermal_load_zone_6,trc_custom_air_conditioner6.hea.Q_flow,1,0
thermal_load_zone_7,trc_custom_air_conditioner7.hea.Q_flow,1,0
thermal_load_zone_8,trc_custom_air_conditioner8.hea.Q_flow,1,0
thermal_load_zone_9,trc_custom_air_conditioner9.hea.Q_flow,1,0
thermal_load_zone_10,trc_custom_air_conditioner10.hea.Q_flow,1,0
thermal_load_zone_11,trc_custom_air_conditioner11.hea.Q_flow,1,0
thermal_load_zone_12,trc_custom_air_conditioner12.hea.Q_flow,1,0
thermal_load_zone_13,trc_custom_air_conditioner13.hea.Q_flow,1,0
thermal_load_zone_14,trc_custom_air_conditioner14.hea.Q_flow,1,0
thermal_load_zone_15,trc_custom_air_conditioner15.hea.Q_flow,1,0
thermal_load_zone_16,trc_custom_air_conditioner16.hea.Q_flow,1,0
thermal_load_zone_17,trc_custom_air_conditioner17.hea.Q_flow,1,0
thermal_load_zone_18,trc_custom_air_conditioner18.hea.Q_flow,1,0
thermal_load_zone_19,trc_custom_air_conditioner19.hea.Q_flow,1,0
thermal_load_zone_20,trc_custom_air_conditioner20.hea.Q_flow,1,0
heating_load_zone_1,trc_custom_air_conditioner1.separateHeatingCoolingThermalEnergy.HeatingThermalEnergy,1,0
heating_load_zone_2,trc_custom_air_conditioner2.separateHeatingCoolingThermalEnergy.HeatingThermalEnergy,1,0
heating_load_zone_3,trc_custom_air_conditioner3.separateHeatingCoolingThermalEnergy.HeatingThermalEnergy,1,0
heating_load_zone_4,trc_custom_air_conditioner4.separateHeatingCoolingThermalEnergy.HeatingThermalEnergy,1,0
heating_load_zone_5,trc_custom_air_conditioner5.separateHeatingCoolingThermalEnergy.HeatingThermalEnergy,1,0
heating_load_zone_6,trc_custom_air_conditioner6.separateHeatingCoolingThermalEnergy.HeatingThermalEnergy,1,0
heating_load_zone_7,trc_custom_air_conditioner7.separateHeatingCoolingThermalEnergy.HeatingThermalEnergy,1,0
heating_load_zone_8,trc_custom_air_conditioner8.separateHeatingCoolingThermalEnergy.HeatingThermalEnergy,1,0
heating_load_zone_9,trc_custom_air_conditioner9.separateHeatingCoolingThermalEnergy.HeatingThermalEnergy,1,0
heating_load_zone_10,trc_custom_air_conditioner10.separateHeatingCoolingThermalEnergy.HeatingThermalEnergy,1,0
heating_load_zone_11,trc_custom_air_conditioner11.separateHeatingCoolingThermalEnergy.HeatingThermalEnergy,1,0
heating_load_zone_12,trc_custom_air_conditioner12.separateHeatingCoolingThermalEnergy.HeatingThermalEnergy,1,0
heating_load_zone_13,trc_custom_air_conditioner13.separateHeatingCoolingThermalEnergy.HeatingThermalEnergy,1,0
heating_load_zone_14,trc_custom_air_conditioner14.separateHeatingCoolingThermalEnergy.HeatingThermalEnergy,1,0
heating_load_zone_15,trc_custom_air_conditioner15.separateHeatingCoolingThermalEnergy.HeatingThermalEnergy,1,0
heating_load_zone_16,trc_custom_air_conditioner16.separateHeatingCoolingThermalEnergy.HeatingThermalEnergy,1,0
heating_load_zone_17,trc_custom_air_conditioner17.separateHeatingCoolingThermalEnergy.HeatingThermalEnergy,1,0
heating_load_zone_18,trc_custom_air_conditioner18.separateHeatingCoolingThermalEnergy.HeatingThermalEnergy,1,0
heating_load_zone_19,trc_custom_air_conditioner19.separateHeatingCoolingThermalEnergy.HeatingThermalEnergy,1,0
heating_load_zone_20,trc_custom_air_conditioner20.separateHeatingCoolingThermalEnergy.HeatingThermalEnergy,1,0
cooling_load_zone_1,trc_custom_air_conditioner1.separateHeatingCoolingThermalEnergy.CoolingThermalEnergy,1,0
cooling_load_zone_2,trc_custom_air_conditioner2.separateHeatingCoolingThermalEnergy.CoolingThermalEnergy,1,0
cooling_load_zone_3,trc_custom_air_conditioner3.separateHeatingCoolingThermalEnergy.CoolingThermalEnergy,1,0
cooling_load_zone_4,trc_custom_air_conditioner4.separateHeatingCoolingThermalEnergy.CoolingThermalEnergy,1,0
cooling_load_zone_5,trc_custom_air_conditioner5.separateHeatingCoolingThermalEnergy.CoolingThermalEnergy,1,0
cooling_load_zone_6,trc_custom_air_conditioner6.separateHeatingCoolingThermalEnergy.CoolingThermalEnergy,1,0
cooling_load_zone_7,trc_custom_air_conditioner7.separateHeatingCoolingThermalEnergy.CoolingThermalEnergy,1,0
cooling_load_zone_8,trc_custom_air_conditioner8.separateHeatingCoolingThermalEnergy.CoolingThermalEnergy,1,0
cooling_load_zone_9,trc_custom_air_conditioner9.separateHeatingCoolingThermalEnergy.CoolingThermalEnergy,1,0
cooling_load_zone_10,trc_custom_air_conditioner10.separateHeatingCoolingThermalEnergy.CoolingThermalEnergy,1,0
cooling_load_zone_11,trc_custom_air_conditioner11.separateHeatingCoolingThermalEnergy.CoolingThermalEnergy,1,0
cooling_load_zone_12,trc_custom_air_conditioner12.separateHeatingCoolingThermalEnergy.CoolingThermalEnergy,1,0
cooling_load_zone_13,trc_custom_air_conditioner13.separateHeatingCoolingThermalEnergy.CoolingThermalEnergy,1,0
cooling_load_zone_14,trc_custom_air_conditioner14.separateHeatingCoolingThermalEnergy.CoolingThermalEnergy,1,0
cooling_load_zone_15,trc_custom_air_conditioner15.separateHeatingCoolingThermalEnergy.CoolingThermalEnergy,1,0
cooling_load_zone_16,trc_custom_air_conditioner16.separateHeatingCoolingThermalEnergy.CoolingThermalEnergy,1,0
cooling_load_zone_17,trc_custom_air_conditioner17.separateHeatingCoolingThermalEnergy.CoolingThermalEnergy,1,0
cooling_load_zone_18,trc_custom_air_conditioner18.separateHeatingCoolingThermalEnergy.CoolingThermalEnergy,1,0
cooling_load_zone_19,trc_custom_air_conditioner19.separateHeatingCoolingThermalEnergy.CoolingThermalEnergy,1,0
cooling_load_zone_20,trc_custom_air_conditioner20.separateHeatingCoolingThermalEnergy.CoolingThermalEnergy,1,0
infiltration_zone_1,freshAir1.m_flow_in,0.8333,0
infiltration_zone_2,freshAir2.m_flow_in,0.8333,0
infiltration_zone_3,freshAir3.m_flow_in,0.8333,0
infiltration_zone_4,freshAir4.m_flow_in,0.8333,0
infiltration_zone_5,freshAir5.m_flow_in,0.8333,0
infiltration_zone_6,freshAir6.m_flow_in,0.8333,0
infiltration_zone_7,freshAir7.m_flow_in,0.8333,0
infiltration_zone_8,freshAir8.m_flow_in,0.8333,0
infiltration_zone_9,freshAir9.m_flow_in,0.8333,0
infiltration_zone_10,freshAir10.m_flow_in,0.8333,0
infiltration_zone_11,freshAir11.m_flow_in,0.8333,0
infiltration_zone_12,freshAir12.m_flow_in,0.8333,0
infiltration_zone_13,freshAir13.m_flow_in,0.8333,0
infiltration_zone_14,freshAir14.m_flow_in,0.8333,0
infiltration_zone_15,freshAir15.m_flow_in,0.8333,0
infiltration_zone_16,freshAir16.m_flow_in,0.8333,0
infiltration_zone_17,freshAir17.m_flow_in,0.8333,0
infiltration_zone_18,freshAir18.m_flow_in,0.8333,0
infiltration_zone_19,freshAir19.m_flow_in,0.8333,0
infiltration_zone_20,freshAir20.m_flow_in,0.8333,0
relative_humidity_zone_1,zon1.phi,100,0
relative_humidity_zone_2,zon2.phi,100,0
relative_humidity_zone_3,zon3.phi,100,0
relative_humidity_zone_4,zon4.phi,100,0
relative_humidity_zone_5,zon5.phi,100,0
relative_humidity_zone_6,zon6.phi,100,0
relative_humidity_zone_7,zon7.phi,100,0
relative_humidity_zone_8,zon8.phi,100,0
relative_humidity_zone_9,zon9.phi,100,0
relative_humidity_zone_10,zon10.phi,100,0
relative_humidity_zone_11,zon11.phi,100,0
relative_humidity_zone_12,zon12.phi,100,0
relative_humidity_zone_13,zon13.phi,100,0
relative_humidity_zone_14,zon14.phi,100,0
relative_humidity_zone_15,zon15.phi,100,0
relative_humidity_zone_16,zon16.phi,100,0
relative_humidity_zone_17,zon17.phi,100,0
relative_humidity_zone_18,zon18.phi,100,0
relative_humidity_zone_19,zon19.phi,100,0
relative_humidity_zone_20,zon20.phi,100,0
pressure_zone_1,zon1.ports[1].p,1,0
pressure_zone_2,zon2.ports[1].p,1,0
pressure_zone_3,zon3.ports[1].p,1,0
pressure_zone_4,zon4.ports[1].p,1,0
pressure_zone_5,zon5.ports[1].p,1,0
pressure_zone_6,zon6.ports[1].p,1,0